team_name,teammates,random_team,middle_pitch,final_pitch,team_mark,tasks,fleisch_index,Dominance,Influence,Steadiness,Compliance,lead_letter
Compas_Locator,6,2,4.3,20,92.6,75,50,4,3,3,2,B
Random Coffee ITMO,4,2,8,11.3,88.9,59,49,2,4,1,1,I
Summarizer Bot,4,0,9.4,17.3,88,89,56,3,3,3,1,B
Videopacbot,4,4,5,14.7,87.6,46,,1,4,1,2,I
HOOK,4,1,6,13.7,87.2,84,41,1,2,3,2,B
Smart_greenhouse,6,2,5.7,17,84,65,37,2,3,3,4,B
PlayBook,5,0,7.9,16,83.3,40,,3,4,2,1,I
Cherries,5,5,5.7,15,82.7,44,48,1,2,2,3,B
ECOservice,5,1,6.7,11.7,82.5,48,55,2,2,3,3,B
BeeLife,4,1,7.7,15,81.2,47,31,2,6,3,1,I
Potato_work,5,1,7,13,81,53,,2,4,2,2,B
h.a.c.,4,1,5.3,13.7,79,32,,0,3,3,2,I
Web_view,5,0,7.3,8.7,78.9,53,,1,2,4,3,I
Farmallect,5,5,0.4,18,78.6,31,28,2,1,3,4,I
Morgai,5,4,7,9.7,77,54,,2,3,4,1,I
SmartTeam,7,2,4.4,17.3,76.7,66,48,3,4,2,4,B
Adapter,4,0,6.6,11,76,49,62,2,1,2,3,B
NeStolovaya,5,2,6.3,8,75.6,72,61,2,3,2,3,B
Notion AI,4,1,8.3,6,75.6,39,49,1,2,2,3,B
Mood,5,1,5.3,10.3,73,90,,2,2,3,3,B
Port S,6,5,5.7,8.7,64.7,44,30,2,5,3,2,I
HoloMerch,5,5,5.1,11.7,63.8,30,50,2,2,2,4,B
Vzero,6,5,2.8,9,62.4,66,31,3,5,3,0,I
